氏名,ふりがな,住所,緯度,経度,年齢,性別,前職業界コード,生年月日,電話番号,通勤手段,希望通勤時間,予想事業所受取時給,予想支払時給,希望勤務時間
根来 安夫,ねごろ やすお,東京都港区芝2-3-22,35.47248,133.05048,27歳,男,B,1995-09-15,050-3843-9390,電車,40,1900,2700,9
牧 健二,まき けんじ,東京都杉並区高円寺南3-3-5,34.66140,133.9353,62歳,男,A,1960-08-05,080-7063-4575,徒歩,110,1100,2200,8
福島 礼人,ふくしま のりひと,東京都杉並区西荻北4-2-4,34.39618,132.45969,27歳,男,S,1996-01-17,090-0376-3035,バス,70,1350,2450,2
石森 豪,いしもり たけし,熊本県熊本市北区龍田1-5-18セントラル411,34.18572,131.47177,6歳,男,H,2016-10-01,070-0411-5582,バス,160,1450,2050,8
山内 誠,やまうち まこと,東京都渋谷区神宮前2-4-7アーバンライフ101,34.06575,134.55969,86歳,男,E,1937-05-08,090-9861-2903,自転車,40,1500,2650,1
小池 侑加,こいけ ゆうか,大阪府大阪市中央区南船場1-1-11,34.34040,134.04328,86歳,その他・不明,G,1937-02-15,070-0772-3284,バス,130,1650,2200,9
田中 晃弘,たなか あきひろ,福岡県福岡市南区横手4-1-4,33.84177,132.76689,43歳,男,H,1980-05-02,050-8333-7214,自転車,120,1150,2750,6
須山 絵里子,すやま えりこ,東京都足立区梅田2-3-4,33.55980,133.53131,30歳,女,D,1993-05-02,080-8733-0076,徒歩,50,1900,2250,9
岡林 智子,おかばやし ともこ,福岡県福岡市博多区博多駅前2-3-21,33.60652,130.41812,99歳,その他・不明,O,1923-10-10,080-6540-3377,電車,80,1850,2050,2
川岸 英子,かわぎし ひでこ,石川県野々市市本町2-4-16,33.24938,130.29827,36歳,女,M,1986-08-09,070-6450-5752,バス,80,1850,2150,3
黒田 直矢,くろだ なおや,広島県安芸郡熊野町呉地1-2-7,32.74439,129.87364,97歳,男,C,1926-03-16,050-0431-0945,自転車,50,1900,2900,10
木下 浩樹,きのした ひろき,東京都豊島区池袋2-1-8ガーデンハイツ804,32.78980,130.74184,26歳,その他・不明,H,1996-09-27,080-9848-5517,電車,60,1400,2700,7
吉田 匠,よしだ たくみ,山口県下関市後田町1-3-18シャンボール514,33.23839,131.61243,53歳,男,R,1969-09-24,050-9438-5981,電車,70,1800,2300,5
入山 コウジ,いりやま こうじ,東京都品川区東品川2-4-21ブランシエラ209,31.91115,131.42316,88歳,男,M,1934-10-03,050-7367-3902,自転車,40,1650,2600,3
中澤 優子,なかざわ ゆうこ,兵庫県神戸市長田区御蔵通1-3-8,31.560100,130.55878,53歳,女,C,1970-02-20,080-2740-1039,バス,150,1600,2400,1
吉田 聖一,よしだ せいいち,兵庫県神戸市中央区熊内橋通1-3-17,26.21214,127.68152,14歳,男,G,2008-11-30,080-8857-0871,電車,20,1500,2550,7
高橋 亜由美,たかはし あゆみ,東京都武蔵野市吉祥寺東町1-3-108,34.97643,138.38332,8歳,女,N,2015-03-16,080-9947-6187,徒歩,160,1050,2550,5
高橋 里恵,たかはし りえ,大阪府大阪市中央区南船場1-4-21グランドプラザ716,35.18026,136.90634,21歳,女,T,2002-03-05,080-2104-0333,電車,120,1850,2700,1
伊地知 勝也,いじち かつや,愛知県名古屋市中村区名駅3-4-5,34.73054,136.50845,99歳,男,A,1923-11-08,090-7513-4722,徒歩,180,1700,2600,9
原 明博,はら あきひろ,東京都新宿区西落合1-2-105,35.00444,135.86885,37歳,男,O,1986-01-01,050-7935-6677,バス,170,1350,2750,9
柴田 英紀,しばた ひでのり,東京都中央区日本橋室町3-4-1105,35.02136,135.75582,84歳,男,S,1938-11-21,090-5077-0191,自転車,90,1400,3000,8
堤 京子,つつみ きょうこ,東京都江戸川区江戸川4-3-8,34.68694,135.52725,24歳,女,O,1998-08-17,050-1810-4645,バス,50,1150,2850,1
井戸 美奈子,いど みなこ,大阪府大阪市住吉区帝塚山東1-1-8,34.69175,135.1834,9歳,女,F,2013-09-27,090-2588-8916,徒歩,80,1150,2400,6
紺谷 賢,こんたに けん,千葉県浦安市富士見2-1-6ユーロハイツ701,34.68563,135.83262,38歳,男,S,1984-11-22,050-2283-4868,自転車,80,1200,2850,3
川村 創太,かわむら そうた,神奈川県横浜市磯子区中原3-3-8,34.22686,135.16786,82歳,男,E,1940-10-21,050-1985-5924,電車,170,1550,2900,3
加藤 健人,かとう けんと,東京都板橋区西台1-2-16インペリアル406,35.50392,134.23822,7歳,男,N,2015-06-05,080-9767-8371,徒歩,120,1400,2650,3
久原 文乃,くはら あやの,秋田県秋田市御所野元町1-4-7,35.47261,133.05055,12歳,女,R,2010-07-19,050-9979-7335,徒歩,170,1650,2200,9
飯村 純平,いいむら じゅんぺい,青森県三沢市鹿中1-5-6,34.66181,133.93517,10歳,男,J,2012-06-26,090-1507-8330,電車,10,1350,2500,8
西尾 伸郎,にしお のぶお,福島県郡山市桑野3-5-18,34.39698,132.45979,70歳,男,K,1952-07-13,050-1441-8384,バス,100,1250,2350,9
渡邊 勝也,わたなべ かつや,福岡県福岡市博多区博多駅前3-2-7プロパレス401,34.18537,131.47185,57歳,男,D,1965-11-05,070-6324-5335,自転車,180,1700,2450,8
田中 謙一,たなか けんいち,山梨県甲府市住吉1-2-5,34.06515,134.55942,53歳,男,L,1970-05-07,070-3398-4981,徒歩,110,1950,2450,5
石田 謙一,いしだ けんいち,福岡県糸島市加布里2-3-6,34.34018,134.04316,88歳,男,I,1934-06-10,050-1884-5326,自転車,140,1350,2100,5
鎌田 洋之,かまた ひろゆき,栃木県足利市伊勢町2-4-10,33.84120,132.76675,72歳,男,C,1951-05-09,080-6316-9204,徒歩,100,1950,2850,5
大関 仁志,おおぜき ひとし,千葉県千葉市花見川区朝日ケ丘1-5-13セルダン502,33.55962,133.53119,1歳,男,S,2022-01-15,050-3237-6009,徒歩,90,1800,2600,8
藤原 孝太郎,ふじわら こうたろう,東京都港区西麻布3-2-17,33.60693,130.41895,52歳,男,H,1970-06-08,050-3578-5699,自転車,180,1650,2750,4
上野 拓也,うえの たくや,千葉県市川市東菅野1-2-17,33.2496,130.29817,84歳,男,B,1939-02-08,070-4756-1138,徒歩,90,1550,2450,10
山口 稔也,やまぐち としや,東京都中野区中野2-2-4,32.7448,129.8738,30歳,男,N,1993-05-05,090-7330-2525,徒歩,150,1850,2950,8
高橋 晴菜,たかはし はるな,埼玉県戸田市笹目2-2-18,32.78980,130.7413,78歳,女,C,1944-12-14,070-6212-8795,徒歩,170,1950,2650,6
石原 まなみ,いしはら まなみ,東京都墨田区緑1-3-4,33.23883,131.61234,61歳,女,R,1962-03-04,070-6895-8573,電車,180,1800,2250,5
田口 慎治,たぐち しんじ,愛知県名古屋市中区大須3-1-4,31.91110,131.42319,53歳,男,P,1969-06-26,070-5700-5819,自転車,80,1450,2750,10
廣瀬 真奈美,ひろせ まなみ,神奈川県横浜市緑区長津田みなみ台1-3-605,31.56077,130.5589,87歳,女,C,1936-01-30,070-3025-2223,自転車,100,1500,2850,10
大橋 勇樹,おおはし ゆうき,東京都渋谷区代々木4-1-5,26.21251,127.68151,46歳,その他・不明,C,1976-11-16,090-6099-6682,バス,80,1050,2750,4
藤田 慎一,ふじた しんいち,福岡県福岡市南区清水2-1-19フレックス307,43.06487,141.3469,40歳,男,N,1982-07-29,070-5773-4087,徒歩,170,1750,2700,4
鈴木 繁,すずき しげる,東京都台東区台東2-4-1205,40.82435,140.74387,10歳,男,S,2012-10-17,050-6117-2584,電車,100,1100,2100,5
竹中 涼,たけなか りょう,東京都杉並区高円寺北1-5-3,39.70318,141.15287,6歳,男,T,2016-07-28,090-2357-2985,電車,50,1700,2650,9
北村 伸行,きたむら のぶゆき,東京都千代田区麹町4-1-10ネバーランド312,38.26852,140.87185,49歳,男,N,1974-03-30,050-6317-0428,バス,60,1950,2150,5
澤田 雄一郎,さわだ ゆういちろう,大阪府箕面市坊島1-5-9,39.71867,140.10254,1歳,男,Q,2022-03-26,090-5878-3168,電車,100,2000,2400,1
酒井 浩一,さかい こういち,東京都港区南麻布4-2-4,38.24094,140.36388,98歳,男,C,1924-10-22,070-9242-7340,自転車,140,1800,2600,2
福田 恵美子,ふくだ えみこ,大阪府大阪市阿倍野区文の里1-3-10,37.75132,140.46720,58歳,女,R,1964-07-04,070-3404-7242,電車,110,1200,2550,1
熊谷 和弘,くまがい かずひろ,大阪府大阪市都島区東野田町3-1-10,36.34129,140.44686,73歳,男,D,1950-04-03,090-2415-9046,バス,100,1700,2350,9
岡 京子,おか きょうこ,東京都三鷹市大沢2-2-9,36.56553,139.88342,41歳,女,L,1981-12-27,050-1308-3396,自転車,10,1900,2600,1
中島 美樹,なかじま みき,神奈川県横須賀市長坂3-2-7,36.39120,139.06093,2歳,女,L,2020-12-07,080-0511-3815,自転車,90,1150,2850,9
大阪 舞,おおさか まい,静岡県浜松市中区佐鳴台2-1-1204,35.85645,139.64887,81歳,女,H,1941-06-14,070-9257-2064,自転車,110,1050,2250,6
田村 祐治,たむら ゆうじ,東京都新宿区高田馬場1-1-1201,35.60454,140.12360,70歳,男,L,1953-04-07,070-2620-9795,バス,20,1600,2200,9
佐々木 智子,ささき ともこ,福岡県福岡市東区千早2-5-11,35.68929,139.69186,30歳,女,A,1993-05-08,090-4919-9749,バス,50,1100,2450,4
大山 亜紀子,おおやま あきこ,北海道岩見沢市一条東1-2-10,35.44753,139.6422,97歳,女,D,1925-08-01,050-4737-4830,自転車,180,1500,2250,9
野中 雄生,のなか ゆうき,千葉県千葉市美浜区高浜1-2-9,37.90266,139.02310,41歳,男,H,1981-11-19,070-9819-7967,徒歩,180,1650,2300,7
清水 成也,しみず なるや,大阪府大阪市北区西天満1-1-7エルグレース304,36.6957,137.21116,57歳,男,P,1965-06-28,090-2869-6684,徒歩,90,1800,2300,2
佐藤 貴之,さとう たかゆき,東京都西東京市新町1-1-506,36.59419,136.62596,39歳,男,C,1984-03-18,080-1652-7924,バス,80,1800,2050,4
木谷 那津子,きたに なつこ,山口県宇部市松山町1-2-17,36.06511,136.22134,70歳,女,B,1952-07-11,050-5404-4085,徒歩,40,1550,2500,3
長根 環,ながね たまき,東京都江戸川区江戸川2-2-7ジオ715,35.66383,138.56835,96歳,女,D,1927-03-02,070-1288-7564,電車,30,1850,2250,8
小池 慎也,こいけ しんや,東京都世田谷区船橋3-3-5コンセール507,36.65158,138.18191,77歳,男,A,1945-10-18,090-9032-4784,電車,40,1200,2050,1
堤 恵,つつみ めぐみ,東京都葛飾区東四つ木2-3-1104,35.39127,136.72242,63歳,女,T,1959-12-02,090-6203-4349,徒歩,30,1950,2900,3
山口 有希子,やまぐち ゆきこ,宮城県仙台市青葉区一番町1-3-10,34.97650,138.38389,38歳,女,J,1984-08-01,070-2225-4624,電車,90,1850,2350,2
福田 亮太,ふくだ りょうた,神奈川県横須賀市ハイランド1-4-9,35.18073,136.90694,17歳,男,M,2006-01-08,050-2196-5287,自転車,50,1900,2300,8
山口 あゆみ,やまぐち あゆみ,大阪府吹田市南正雀1-3-8,34.73037,136.50864,75歳,女,A,1947-07-22,080-7019-7815,電車,20,1600,2550,1
小林 悦子,こばやし えつこ,東京都港区赤坂2-5-609,35.00418,135.86836,92歳,女,B,1931-01-15,070-8602-5241,自転車,30,1950,2100,6
笹本 克己,ささもと かつみ,東京都新宿区西新宿2-3-14,35.02166,135.7559,92歳,男,H,1931-01-23,080-2921-0159,自転車,130,1150,2200,5
森 多恵子,もり たえこ,千葉県船橋市習志野1-2-4キングマンション707,34.68648,135.52772,32歳,女,E,1991-04-28,050-6149-6747,バス,80,1100,2400,4
矢野 直人,やの なおと,沖縄県豊見城市宜保2-3-21,34.6911,135.18370,46歳,男,C,1976-08-03,080-4079-0363,徒歩,180,1900,2650,7
伊藤 雄太郎,いとう ゆうたろう,大阪府吹田市津雲台3-5-21,34.68557,135.8328,33歳,男,N,1990-01-13,080-9633-3712,徒歩,120,1600,2600,8
竹川 まみ,たけかわ まみ,東京都港区虎ノ門2-2-7,34.22632,135.167100,93歳,その他・不明,H,1929-12-27,070-4280-0953,電車,30,1400,2100,9
小松 健,こまつ けん,千葉県千葉市花見川区花園1-2-4,35.50362,134.23819,68歳,男,L,1954-06-15,050-9217-0666,バス,130,1700,2300,9
木原 雄一,きはら ゆういち,東京都中野区上高田3-3-22,35.4720,133.05047,44歳,男,M,1978-06-29,090-8994-0291,電車,150,1250,2850,2
能登 良太郎,のと りょうたろう,東京都目黒区中目黒3-2-1001,34.66137,133.93533,82歳,男,G,1940-12-11,050-0750-3171,徒歩,50,1250,2200,4
吉川 隆司,よしかわ りゅうじ,東京都千代田区麹町3-5-9,34.39655,132.45963,57歳,男,T,1965-06-13,080-1921-2606,自転車,40,1050,2400,2
谷口 直人,たにぐち なおと,福岡県福岡市南区弥永3-3-7,34.18531,131.47147,48歳,男,S,1975-01-23,070-1213-7199,徒歩,160,1750,2100,8
大竹 英彰,おおたけ ひであき,東京都新宿区四谷2-3-8,34.06573,134.55919,42歳,男,A,1981-05-15,090-6465-4898,電車,150,1500,2150,7
山本 優,やまもと ゆう,三重県鈴鹿市住吉1-4-7,34.34098,134.04388,86歳,男,L,1936-09-04,070-2647-0532,徒歩,140,1700,2950,10
若尾 由実,わかお ゆみ,東京都世田谷区上北沢2-3-906,33.84175,132.76650,14歳,女,L,2009-04-27,090-2322-1302,電車,150,1450,2850,5
水口 崇,みずぐち たかし,東京都世田谷区桜上水2-2-13,33.55938,133.53143,5歳,男,R,2017-11-19,070-8826-5953,徒歩,100,1850,2850,1
桐原 崇博,きりはら たかひろ,東京都町田市森野1-3-22,33.6067,130.41815,100歳,男,P,1922-11-25,050-1851-9569,バス,60,1700,2750,1
田中 正己,たなか まさみ,東京都大田区大森東1-4-20,33.24944,130.29851,89歳,男,J,1933-11-10,080-6760-8296,電車,140,1900,2600,9
高橋 誠一,たかはし せいいち,奈良県奈良市芝辻町1-3-3フィオーレ215,32.74433,129.87314,59歳,男,L,1963-11-28,080-7246-3028,自転車,80,1450,2850,2
田島 智春,たじま ちはる,大阪府大阪市天王寺区大道3-2-14,32.78947,130.74169,18歳,男,B,2004-06-12,090-8572-8563,徒歩,90,1400,2050,9
川上 有希子,かわかみ ゆきこ,大分県大分市豊海2-4-11,33.23838,131.61267,39歳,女,D,1984-01-28,090-0880-8488,自転車,120,1750,2500,6
矢田 毅,やだ たかし,東京都葛飾区鎌倉3-3-702グランドコーポ808,31.91137,131.42382,25歳,男,C,1997-11-13,050-1852-7766,自転車,80,1200,2400,1
本田 厚,ほんだ あつし,長野県諏訪市沖田町3-2-13,31.56041,130.55858,83歳,男,D,1940-03-15,090-1567-0115,電車,80,1050,2500,3
水谷 則之,みずたに のりゆき,大阪府大阪市旭区新森3-1-3,26.21241,127.68112,9歳,その他・不明,O,2013-07-07,080-9493-3698,バス,180,1350,2300,10
佐藤 健人,さとう けんと,大阪府大阪市中央区瓦町2-1-10,34.97651,138.38351,23歳,その他・不明,N,2000-04-14,080-9217-3354,徒歩,100,1900,2200,6
奈良 優,なら ゆう,富山県富山市総曲輪4-2-7アーバンプラザ813,35.18072,136.9068,5歳,女,F,2018-04-28,090-7715-9923,徒歩,10,1500,2650,2
田村 武史,たむら たけふみ,北海道北広島市大曲工業団地3-1-5,34.73077,136.50877,97歳,男,B,1925-11-12,050-3336-9755,バス,40,1700,2550,3
福島 明香,ふくしま さやか,福岡県福岡市博多区中洲2-2-11,35.00484,135.86853,12歳,女,Q,2011-03-20,070-5159-3038,徒歩,130,1750,2300,2
石川 恵,いしかわ めぐみ,北海道札幌市西区発寒十三条3-2-1001,35.02133,135.75568,7歳,女,L,2016-04-05,050-0107-4288,バス,140,1350,2250,10
楠元 麻美,くすもと あさみ,岐阜県岐阜市山吹町3-3-309,34.6861,135.52749,45歳,女,D,1978-01-02,070-0339-9748,電車,120,1650,2100,2
斉藤 大輔,さいとう だいすけ,大阪府大阪市此花区島屋3-2-15ロイヤルマンション312,34.69145,135.18393,1歳,男,F,2022-03-10,050-3375-9208,バス,130,1700,2350,1
鈴木 静花,すずき しずか,東京都中央区八丁堀3-1-17ネオライフマンション515,34.68592,135.83289,46歳,女,L,1977-01-16,080-6170-8972,自転車,140,1850,2300,8
平山 愛,ひらやま あい,千葉県市川市市川南2-2-7クレアガーデン313,34.22671,135.16710,17歳,女,B,2006-06-02,080-2800-5566,自転車,160,1050,3000,6
横田 智宏,よこた ともひろ,東京都目黒区目黒3-5-19シャトード615,35.50313,134.23860,44歳,男,J,1978-07-20,070-6357-5781,電車,30,1700,2150,4
小島 恵介,こじま けいすけ,東京都港区三田3-2-9ネオステージ411,35.47212,133.05026,19歳,男,O,2003-12-10,090-7399-4242,電車,110,1350,2350,1
石井 節子,いしい せつこ,熊本県熊本市中央区新町1-3-802,34.66198,133.93510,21歳,その他・不明,A,2001-10-07,070-0666-2077,徒歩,160,1600,2400,5
明石 みなみ,あかし みなみ,大阪府大阪市淀川区東三国2-1-15,34.39628,132.45967,60歳,女,F,1962-10-16,090-7657-7677,徒歩,50,1150,2450,2
田島 いつみ,たじま いつみ,山口県下関市王司本町3-4-3,34.18547,131.47191,31歳,女,H,1991-10-18,050-9543-7284,バス,160,1600,3000,6
村上 恵美,むらかみ えみ,和歌山県和歌山市湊2-1-1106,34.0654,134.5590,47歳,女,T,1975-11-11,080-7175-3876,バス,100,2000,2900,1
武田 明,たけだ あきら,東京都杉並区下高井戸1-5-6ハイデンス309,34.34079,134.04394,4歳,男,P,2018-10-05,080-6276-7030,徒歩,30,1800,3000,3
小森 隆之,こもり たかゆき,山形県山形市桧町4-2-7ジャルダン305,33.84135,132.76621,11歳,男,B,2011-08-30,080-4521-4796,自転車,90,1700,2950,7
加藤 光俊,かとう みつとし,東京都渋谷区本町3-5-706,33.55962,133.53111,44歳,男,T,1978-10-15,080-7200-7131,自転車,50,1800,2700,10
矢野 有祐,やの ゆうすけ,大阪府大阪市福島区鷺洲2-5-4プレシアス406,33.60674,130.41887,64歳,男,O,1959-03-29,070-2694-7867,電車,140,1250,2800,9
渡部 麻里,わたなべ まり,大阪府豊能郡豊能町ときわ台3-5-9,33.24917,130.29898,40歳,その他・不明,E,1983-01-06,070-4402-9647,徒歩,180,1750,2200,8
及川 次郎,おいかわ じろう,東京都豊島区池袋2-3-4パストラル206,32.74447,129.87347,26歳,男,O,1997-05-27,080-0604-9622,バス,90,1250,2050,4
後藤 勝,ごとう まさる,東京都千代田区九段北3-4-14ディークラディア808,32.78958,130.74199,33歳,男,C,1990-01-09,070-2447-8824,自転車,120,1800,2600,3
小川 秀俊,おがわ ひでとし,愛知県名古屋市中川区戸田3-2-9,33.23878,131.6122,36歳,男,O,1986-12-03,050-3970-9590,自転車,40,1450,2500,2
岩間 真弓,いわま まゆみ,神奈川県藤沢市白旗3-1-6アーク202,31.91171,131.42369,12歳,女,E,2010-10-03,050-6130-6657,徒歩,170,1350,2100,1
高橋 友美,たかはし ゆみ,兵庫県神戸市東灘区魚崎中町3-5-408,31.56034,130.55889,93歳,女,B,1930-03-07,090-8142-2872,バス,50,1250,2450,1
増田 晃,ますだ あきら,大阪府藤井寺市野中2-1-8クレアヒルズ212,26.2120,127.68129,23歳,男,I,1999-07-14,070-9806-9914,徒歩,180,1800,2200,10
織茂 真帆,おりも まほ,東京都目黒区目黒2-1-7,34.97671,138.38335,93歳,女,G,1929-07-29,080-4650-6304,徒歩,50,2000,2100,2
徳永 あかね,とくなが あかね,神奈川県川崎市高津区下作延2-2-10,35.18033,136.9068,3歳,女,P,2020-05-31,080-8841-5049,自転車,100,1950,2300,10
近藤 琴,こんどう こと,神奈川県座間市入谷西2-2-4,34.73082,136.5081,32歳,女,O,1990-06-13,090-6118-5340,バス,40,1050,2150,10
高山 実希,たかやま みき,山梨県甲府市徳行3-3-6,35.00469,135.86836,96歳,女,R,1927-02-16,080-8196-3277,電車,70,1400,2300,7
近藤 邦子,こんどう くにこ,東京都足立区西伊興3-2-7,35.02132,135.75553,84歳,女,M,1938-08-31,070-1306-2089,バス,120,1900,2950,9
伊藤 敬司,いとう けいじ,大阪府堺市美原区木材通2-3-9,34.68650,135.52792,64歳,男,K,1958-07-08,050-5391-2122,自転車,180,1800,2750,8
向井 由紀,むかい ゆき,東京都江東区大島1-1-22,34.69148,135.18361,77歳,女,B,1945-10-04,070-7461-4094,バス,150,1950,2200,1
玉置 智治,たまき ともはる,東京都世田谷区喜多見2-1-4,34.68532,135.83217,13歳,男,F,2010-04-04,070-9393-1135,電車,90,1700,2700,6
山田 美樹,やまだ みき,青森県八戸市江陽3-5-13,34.22659,135.16735,72歳,女,S,1950-06-15,080-0119-5327,バス,40,1550,2200,6
中島 貴章,なかじま たかあき,愛知県小牧市堀の内2-2-10,35.5039,134.23862,57歳,男,H,1965-10-04,080-0062-6512,バス,90,1200,2300,6
徳山 伸悟,とくやま しんご,東京都目黒区中目黒4-2-4,35.47251,133.05020,70歳,男,Q,1952-11-24,090-3160-1118,徒歩,50,1500,2350,9
宮嵜 誠,みやざき まこと,東京都墨田区緑3-4-508アーバンプラザ708,34.66112,133.93533,10歳,男,B,2012-08-08,080-1707-2997,自転車,160,1200,2300,8
野田 由希,のだ ゆき,千葉県習志野市津田沼2-3-105,34.3963,132.45924,52歳,女,K,1970-09-22,070-6562-0488,自転車,130,1750,2700,5
秦 昭一,はた しょういち,静岡県藤枝市小石川町2-3-6,34.18593,131.47182,4歳,男,B,2018-11-28,080-3099-6078,電車,140,1300,2100,7
高野 健彦,たかの たけひこ,石川県金沢市新神田1-2-603,34.06545,134.55956,2歳,男,Q,2021-05-20,090-0473-9047,自転車,170,1100,2850,4
宮澤 真也,みやざわ しんや,東京都中野区本町2-4-701,34.34085,134.04398,18歳,男,M,2004-12-14,080-9082-6175,電車,140,1800,2200,1
萱場 大地,かやば だいち,東京都足立区足立3-3-4シャトー508,33.84137,132.76663,38歳,男,F,1985-04-25,070-4307-3394,バス,160,1650,2200,7
大山 類,おおやま るい,東京都中野区本町1-4-603セラ508,33.55925,133.53151,1歳,女,A,2021-10-11,080-8919-1696,バス,40,1600,2750,6
木村 智樹,きむら ともき,山形県酒田市亀ケ崎3-3-4,33.60680,130.41888,82歳,男,T,1941-04-02,070-0803-3282,バス,120,1750,2900,4
松川 克昭,まつかわ かつあき,群馬県桐生市広沢町2-5-1106,33.24949,130.29847,43歳,男,J,1979-07-26,070-7267-1655,徒歩,20,1800,2800,1
深水 里美,ふかみ さとみ,東京都港区芝4-3-6,32.74411,129.87335,96歳,女,J,1926-08-01,090-6358-9277,徒歩,150,1200,2750,5
川崎 正光,かわさき まさみつ,徳島県徳島市北矢三町1-1-6,32.78953,130.74183,90歳,男,B,1933-05-21,050-6896-9693,バス,110,1100,2650,1
中村 勇介,なかむら ゆうすけ,東京都葛飾区南水元1-1-12,33.23897,131.61267,72歳,男,I,1950-07-11,050-5801-6029,自転車,140,1850,2600,3
原田 誠司,はらだ せいじ,東京都渋谷区恵比寿2-5-608,31.91159,131.42374,48歳,男,N,1974-06-06,070-5958-9739,自転車,90,1400,2400,8
清水 玲央奈,しみず れおな,兵庫県三木市緑が丘町西2-2-15コボリクラスタ212,31.56022,130.55889,48歳,女,J,1975-01-04,070-9192-5310,自転車,150,1150,2400,4
中村 克彦,なかむら かつひこ,石川県金沢市畝田西2-1-11,26.21233,127.68135,3歳,男,R,2020-03-24,070-6229-8203,自転車,30,1650,2100,7
西條 晶子,さいじょう しょうこ,大阪府大阪市大正区三軒家東3-3-19,34.97612,138.38326,5歳,女,D,2017-12-21,090-4173-5286,徒歩,90,1500,2200,1
笠井 尚子,かさい なおこ,東京都荒川区東日暮里2-5-15,35.18043,136.90686,52歳,女,I,1971-04-26,090-3768-3291,徒歩,30,1750,2800,1
佐藤 里絵,さとう りえ,宮崎県延岡市緑ケ丘3-2-21ビューネ805,34.73084,136.50852,37歳,女,T,1986-01-14,090-1508-8659,自転車,30,1550,2500,5
村雲 太,むらくも ふとし,千葉県佐倉市ユーカリが丘3-2-6,35.00411,135.86816,83歳,男,P,1939-12-17,050-1588-2702,自転車,70,1050,2850,9
梅田 正也,うめだ まさや,東京都大田区大森北3-2-107,35.02138,135.75571,21歳,男,O,2002-04-15,090-8813-6498,自転車,130,1250,2950,3
野口 真,のぐち まこと,東京都江東区大島1-1-9,34.68674,135.52793,26歳,男,S,1997-02-06,090-9465-9724,自転車,110,1500,2950,2
中島 亜矢,なかじま あや,神奈川県横浜市港南区港南台2-2-404,34.69162,135.1838,65歳,女,H,1957-09-22,080-3225-6243,バス,160,1650,2400,4
横山 一宏,よこやま かずひろ,福岡県福岡市博多区博多駅前2-1-7,34.68512,135.83280,64歳,男,P,1959-01-26,070-9647-4350,バス,20,1700,2250,7
杉浦 峻,すぎうら しゅん,神奈川県横浜市港北区綱島東4-3-7,34.22670,135.16718,53歳,男,O,1969-11-02,090-5104-3003,バス,150,1600,2700,5
三輪 勝,みわ まさる,北海道上川郡当麻町六条西3-4-16,35.50376,134.23822,52歳,男,I,1970-09-11,050-4257-0839,バス,130,1900,2850,4
内田 真紀,うちだ まき,東京都豊島区駒込2-1-4,35.47270,133.05044,63歳,女,E,1959-08-13,090-2929-2630,自転車,150,1150,2300,7
江角 和人,えすみ かずと,埼玉県戸田市本町2-3-9,34.6616,133.93531,74歳,男,T,1948-11-20,090-1612-2537,バス,10,1150,2250,1
石川 香純,いしかわ かすみ,東京都目黒区目黒1-2-15スカイマンション608,34.39696,132.45933,83歳,女,M,1939-07-26,050-8689-7759,徒歩,110,1100,2100,4
齋藤 正和,さいとう まさかず,大阪府大阪市北区西天満3-1-10,34.18557,131.47140,0歳,男,T,2022-08-08,070-1097-3892,電車,170,1900,3000,6
唐川 正敏,からかわ まさとし,東京都中央区銀座3-4-1204,34.06597,134.55956,12歳,男,O,2010-08-13,070-0178-7963,バス,130,1150,2300,1
山崎 健一,やまざき けんいち,東京都江戸川区東葛西2-1-22,34.34025,134.0439,83歳,男,A,1940-04-18,050-2654-8424,電車,160,1550,2350,2
川口 晴香,かわぐち はるか,栃木県下野市小金井4-3-4,33.84132,132.76628,80歳,女,I,1943-01-14,090-1761-2230,バス,150,1100,2400,2
富田 浩,とみた ひろし,東京都渋谷区恵比寿3-1-105,33.55923,133.53121,8歳,男,C,2015-01-30,080-6522-2993,電車,50,1400,2450,2
竹田 里奈,たけだ りな,東京都江戸川区東小松川3-2-17,33.60650,130.41834,72歳,女,K,1950-09-28,070-5320-8214,自転車,90,1650,2800,5
前田 昌弘,まえだ まさひろ,岐阜県岐阜市高森町1-3-1201,33.24962,130.2983,0歳,男,F,2023-05-25,090-8949-4251,徒歩,80,1350,2050,8
中嶋 昌子,なかじま まさこ,福岡県北九州市八幡西区小嶺台3-2-17,32.74479,129.87369,99歳,女,B,1924-06-02,050-2608-5162,電車,150,1650,2300,8
渡辺 雅之,わたなべ まさゆき,長野県岡谷市加茂町1-3-3,32.78970,130.7417,1歳,男,D,2022-02-19,090-7427-0518,徒歩,50,1850,2750,4
澤田 耕,さわだ こう,神奈川県横浜市鶴見区下末吉2-3-14,33.23890,131.61240,79歳,男,A,1943-09-05,070-2591-4360,電車,180,1050,2100,10
齊藤 麻衣,さいとう まい,大阪府大阪市東淀川区小松1-2-9,31.91128,131.42398,88歳,女,F,1935-01-14,070-1553-2160,バス,40,1200,2400,9
川上 和広,かわかみ かずひろ,愛知県名古屋市中村区太閤2-3-9セイワパレス713,31.56090,130.55877,10歳,男,I,2012-06-26,050-2779-1867,自転車,80,1650,2750,1
里見 寛之,さとみ ひろゆき,兵庫県明石市小久保2-5-101,26.21227,127.68176,62歳,男,S,1960-07-11,050-0120-1362,徒歩,70,1550,2300,1
